#FamilyID	pvalue	Significant at 0.05
N0.HOG0000794	0.293	n
N0.HOG0000795	0.62	n
N0.HOG0000797	0.625	n
N0.HOG0000798	0	y
N0.HOG0000800	0.105	n
N0.HOG0000801	0.964	n
N0.HOG0000803	0.271	n
N0.HOG0000804	0	y
N0.HOG0000806	0.448	n
N0.HOG0000808	0	y
N0.HOG0000810	0.164	n
N0.HOG0000814	0	y
N0.HOG0000817	0	y
N0.HOG0000824	0.747	n
N0.HOG0000825	0.482	n
N0.HOG0000826	0	y
N0.HOG0000827	0	y
N0.HOG0000828	0.079	n
N0.HOG0000829	0.737	n
N0.HOG0000830	0.086	n
N0.HOG0000831	0.447	n
N0.HOG0000832	0.907	n
N0.HOG0000833	0.946	n
N0.HOG0000836	0	y
N0.HOG0000838	0.961	n
N0.HOG0000852	0	y
N0.HOG0000854	0.006	y
N0.HOG0000856	0.051	n
N0.HOG0000857	0.867	n
N0.HOG0000858	0.05	n
N0.HOG0000859	0.017	y
N0.HOG0000861	0.001	y
N0.HOG0000862	0	y
N0.HOG0000865	0.105	n
N0.HOG0000866	0.019	y
N0.HOG0000867	0.005	y
N0.HOG0000869	0.057	n
N0.HOG0000870	0.052	n
N0.HOG0000875	0.63	n
N0.HOG0000877	0.748	n
N0.HOG0000878	0.106	n
N0.HOG0000879	0.366	n
N0.HOG0000881	0.931	n
N0.HOG0000882	0.188	n
N0.HOG0000883	0.302	n
N0.HOG0000884	0	y
N0.HOG0000885	0.004	y
N0.HOG0000886	0.092	n
N0.HOG0000888	0.006	y
N0.HOG0000889	0	y
N0.HOG0000890	0.001	y
N0.HOG0000892	0.025	y
N0.HOG0000894	0.004	y
N0.HOG0000896	0.013	y
N0.HOG0000897	0.121	n
N0.HOG0000898	0.325	n
N0.HOG0000899	0.904	n
N0.HOG0000901	0.459	n
N0.HOG0000902	0.025	y
N0.HOG0000903	0.03	y
N0.HOG0000904	0.015	y
N0.HOG0000905	0.077	n
N0.HOG0000915	0.011	y
N0.HOG0000916	0	y
N0.HOG0000917	0.819	n
N0.HOG0000921	0.003	y
N0.HOG0000922	0.729	n
N0.HOG0000923	0.999	n
N0.HOG0000924	0.811	n
N0.HOG0000925	0.503	n
N0.HOG0000926	0	y
N0.HOG0000927	0.903	n
N0.HOG0000928	0.288	n
N0.HOG0000929	0.192	n
N0.HOG0000930	0.243	n
N0.HOG0000931	0	y
N0.HOG0000932	0.65	n
N0.HOG0000933	0.039	y
N0.HOG0000934	0.247	n
N0.HOG0000935	0.695	n
N0.HOG0000936	0.991	n
N0.HOG0000938	0.204	n
N0.HOG0000939	0.502	n
N0.HOG0000940	0.035	y
N0.HOG0000941	0.001	y
N0.HOG0000942	0.212	n
N0.HOG0000943	0.157	n
N0.HOG0000944	0.076	n
N0.HOG0000945	0.999	n
N0.HOG0000946	0.289	n
N0.HOG0000947	0.105	n
N0.HOG0000950	0	y
N0.HOG0000960	0.03	y
N0.HOG0000961	0.58	n
N0.HOG0000963	0.05	n
N0.HOG0000964	0.791	n
N0.HOG0000966	0.193	n
N0.HOG0000968	0.355	n
N0.HOG0000969	0.711	n
N0.HOG0000970	0.297	n
N0.HOG0000971	0.491	n
N0.HOG0000972	0.811	n
N0.HOG0000973	0.621	n
N0.HOG0000974	0.503	n
N0.HOG0000975	0.786	n
N0.HOG0000977	0.378	n
N0.HOG0000978	0.009	y
N0.HOG0000979	0.791	n
N0.HOG0000980	0.65	n
N0.HOG0000981	0.815	n
N0.HOG0000983	0.43	n
N0.HOG0000984	0.078	n
N0.HOG0000985	0.02	y
N0.HOG0000990	0.711	n
N0.HOG0000991	0.002	y
N0.HOG0001001	0.935	n
N0.HOG0001002	0.671	n
N0.HOG0001007	0.811	n
N0.HOG0001008	0.496	n
N0.HOG0001010	0.043	y
N0.HOG0001011	0.327	n
N0.HOG0001013	0.865	n
N0.HOG0001015	0.726	n
N0.HOG0001016	0.757	n
N0.HOG0001017	0.207	n
N0.HOG0001018	0.869	n
N0.HOG0001019	0.906	n
N0.HOG0001021	0.621	n
N0.HOG0001022	0.503	n
N0.HOG0001024	0.611	n
N0.HOG0001025	0.726	n
N0.HOG0001026	0.132	n
N0.HOG0001028	0.02	y
N0.HOG0001029	0.037	y
N0.HOG0001030	0.011	y
N0.HOG0001031	0.561	n
N0.HOG0001033	0.001	y
N0.HOG0001034	0	y
N0.HOG0001035	0.832	n
N0.HOG0001036	0.008	y
N0.HOG0001037	0	y
N0.HOG0001038	0.931	n
N0.HOG0001039	0.611	n
N0.HOG0001040	0.004	y
N0.HOG0001043	0.999	n
N0.HOG0001048	0.811	n
N0.HOG0001049	0.86	n
N0.HOG0001051	0.694	n
N0.HOG0001052	0.178	n
N0.HOG0001054	0.009	y
N0.HOG0001055	0.936	n
N0.HOG0001056	0.898	n
N0.HOG0001057	0.593	n
N0.HOG0001058	0.792	n
N0.HOG0001059	0.522	n
N0.HOG0001060	0.392	n
N0.HOG0001061	0.811	n
N0.HOG0001062	0.677	n
N0.HOG0001063	0.935	n
N0.HOG0001064	0.539	n
N0.HOG0001065	0	y
N0.HOG0001066	0.02	y
N0.HOG0001069	0	y
N0.HOG0001070	0.811	n
N0.HOG0001071	0.806	n
N0.HOG0001072	0.051	n
N0.HOG0001073	0.083	n
N0.HOG0001075	0.24	n
N0.HOG0001076	0.223	n
N0.HOG0001077	0	y
N0.HOG0001079	0.872	n
N0.HOG0001080	0.791	n
N0.HOG0001081	0.1	n
N0.HOG0001082	0.865	n
N0.HOG0001083	0.774	n
N0.HOG0001084	0.225	n
N0.HOG0001085	0.874	n
N0.HOG0001086	0.218	n
N0.HOG0001087	0.549	n
N0.HOG0001088	0.028	y
N0.HOG0001089	0.776	n
N0.HOG0001091	0.008	y
N0.HOG0001093	0.293	n
N0.HOG0001094	0.016	y
N0.HOG0001095	0.412	n
N0.HOG0001097	0.017	y
N0.HOG0001098	0.003	y
N0.HOG0001099	0.04	y
N0.HOG0001100	0.034	y
N0.HOG0001101	0.121	n
N0.HOG0001102	0.115	n
N0.HOG0001103	0.141	n
N0.HOG0001108	0	y
N0.HOG0001109	0.458	n
N0.HOG0001112	0	y
N0.HOG0001113	0.79	n
N0.HOG0001114	0.001	y
N0.HOG0001116	0.79	n
N0.HOG0001117	0.622	n
N0.HOG0001119	0.261	n
N0.HOG0001120	0.65	n
N0.HOG0001121	0.742	n
N0.HOG0001127	0.019	y
N0.HOG0001130	0.668	n
N0.HOG0001131	0.506	n
N0.HOG0001132	0.804	n
N0.HOG0001133	0.551	n
N0.HOG0001134	0.001	y
N0.HOG0001135	0.657	n
N0.HOG0001136	0.468	n
N0.HOG0001138	0.373	n
N0.HOG0001140	0.832	n
N0.HOG0001141	0.888	n
N0.HOG0001142	0.717	n
N0.HOG0001145	0	y
N0.HOG0001146	0.418	n
N0.HOG0001148	0.481	n
N0.HOG0001149	0.134	n
N0.HOG0001150	0.427	n
N0.HOG0001152	0.064	n
N0.HOG0001153	0.668	n
N0.HOG0001154	0.096	n
N0.HOG0001155	0.703	n
N0.HOG0001156	0.685	n
N0.HOG0001157	0.653	n
N0.HOG0001158	0.568	n
