#FamilyID	pvalue	Significant at 0.05
N0.HOG0000938	0.23	n
N0.HOG0000939	0.836	n
N0.HOG0000942	0	y
N0.HOG0000943	0.454	n
N0.HOG0000944	0.523	n
N0.HOG0000945	0.982	n
N0.HOG0000946	0.869	n
N0.HOG0000947	0.807	n
N0.HOG0000948	0.777	n
N0.HOG0000949	0.601	n
N0.HOG0000950	0.663	n
N0.HOG0000951	0.831	n
N0.HOG0000953	0.172	n
N0.HOG0000956	0	y
N0.HOG0000967	0	y
N0.HOG0000971	0	y
N0.HOG0000972	0.121	n
N0.HOG0000974	0.007	y
N0.HOG0000975	0.697	n
N0.HOG0000976	0.776	n
N0.HOG0000977	0.676	n
N0.HOG0000978	0.87	n
N0.HOG0000980	0.336	n
N0.HOG0000981	0.732	n
N0.HOG0000983	0.732	n
N0.HOG0000984	0.622	n
N0.HOG0000985	0.608	n
N0.HOG0000986	0.061	n
N0.HOG0000988	0.715	n
N0.HOG0000989	0.452	n
N0.HOG0000990	0.237	n
N0.HOG0000991	0.653	n
N0.HOG0000992	0.396	n
N0.HOG0000993	0.069	n
N0.HOG0000994	0.811	n
N0.HOG0000995	0.995	n
N0.HOG0000996	0.934	n
N0.HOG0000998	0.433	n
N0.HOG0000999	0.708	n
N0.HOG0001000	0.589	n
N0.HOG0001001	0.07	n
N0.HOG0001002	0.49	n
N0.HOG0001005	0.105	n
N0.HOG0001019	0.205	n
N0.HOG0001023	0.002	y
N0.HOG0001025	0.174	n
N0.HOG0001027	0.776	n
N0.HOG0001028	0	y
N0.HOG0001030	0.013	y
N0.HOG0001031	0.914	n
N0.HOG0001032	0.434	n
N0.HOG0001033	0.818	n
N0.HOG0001034	0.643	n
N0.HOG0001038	0.757	n
N0.HOG0001039	0.511	n
N0.HOG0001040	0.535	n
N0.HOG0001041	0.068	n
N0.HOG0001042	0.801	n
N0.HOG0001043	0.902	n
N0.HOG0001044	0.304	n
N0.HOG0001054	0.426	n
N0.HOG0001056	0.685	n
N0.HOG0001057	0.185	n
N0.HOG0001060	0.759	n
N0.HOG0001061	0.873	n
N0.HOG0001062	0.216	n
N0.HOG0001070	0.984	n
N0.HOG0001071	0.656	n
N0.HOG0001072	0.218	n
N0.HOG0001075	0.717	n
N0.HOG0001076	0.553	n
N0.HOG0001078	0.733	n
N0.HOG0001079	0.956	n
N0.HOG0001080	0.01	y
N0.HOG0001081	0.129	n
N0.HOG0001082	0.914	n
N0.HOG0001084	0.701	n
N0.HOG0001085	0.426	n
N0.HOG0001086	0.188	n
N0.HOG0001087	0.092	n
N0.HOG0001091	0.284	n
N0.HOG0001094	0.313	n
N0.HOG0001107	0	y
N0.HOG0001109	0.347	n
