OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0001918	0.22416846986827083	0.4836659657010076	n
N0.HOG0000682	0.23944255716935955	0.4535299634141644	n
N0.HOG0000054	0.32033541254101144	0.3100489656589186	n
N0.HOG0001100	-0.055944055944055944	0.8628980736949712	n
N0.HOG0000602	0.3353138689291874	0.28665785786011205	n
N0.HOG0001786	0.6690306744437988	0.01735219250540726	n
N0.HOG0002095	-0.20665530815981217	0.5193022970166132	n
N0.HOG0006995	0.5438353378590279	0.06758713970187623	n
N0.HOG0001275	-0.19614741113473694	0.5412137259515317	n
N0.HOG0002009	0.3216783216783217	0.30790987618065263	n
N0.HOG0001378	0.44833693973654165	0.14379811749123733	n
N0.HOG0010108	-0.37762237762237766	0.22620604493502663	n
N0.HOG0001328	0.5148307865065466	0.08675862003895493	n
N0.HOG0000866	-0.4343264103697747	0.15829394366797925	n
N0.HOG0000885	-0.07692307692307693	0.8121826980280591	n
N0.HOG0000931	0.07976251621932409	0.805365010461281	n
N0.HOG0000696	-0.006993006993006993	0.9827917689028476	n
N0.HOG0002010	0.2491497653096756	0.43485380702768006	n
N0.HOG0000067	0.08056054385890982	0.80345110920634	n
N0.HOG0001652	-0.3239516949938394	0.3043074354691464	n
N0.HOG0002393	0.4378290427114664	0.15458641247553007	n
N0.HOG0000462	-0.013986013986013986	0.9655902689187795	n
N0.HOG0002872	0.6408609618356389	0.02473585790362511	n
N0.HOG0000113	0.04195804195804196	0.8969858708195542	n
N0.HOG0000859	0.3152369107522558	0.31824499801822026	n
N0.HOG0001747	0.37728393032608015	0.22665643326935325	n
N0.HOG0001108	-0.07042428152039987	0.827831199192635	n
N0.HOG0002086	0.3636363636363637	0.2452650007307772	n
N0.HOG0001091	0.0	1.0	n
N0.HOG0000852	0.18881118881118883	0.5567370561768314	n
N0.HOG0000489	0.2937062937062937	0.35414764123292175	n
N0.HOG0000543	0.4755244755244756	0.11817595701303213	n
N0.HOG0000624	-0.4225456891223993	0.17117595198400154	n
N0.HOG0002693	0.2827943756866945	0.37312794868323884	n
N0.HOG0000056	-0.1328671328671329	0.6805975082860818	n
N0.HOG0000027	0.013986013986013986	0.9655902689187795	n
N0.HOG0001311	0.06304738215045116	0.8456637160508921	n
N0.HOG0000370	0.1690182756489597	0.599497869823576	n
N0.HOG0000472	-0.29186115364847715	0.3573204374373701	n
N0.HOG0001351	0.07118564723133589	0.825994817969491	n
N0.HOG0002957	-0.1576184553761279	0.6246756664067579	n
N0.HOG0000030	-0.16783216783216784	0.602099427786538	n
N0.HOG0001600	0.5664335664335665	0.054842119775407844	n
N0.HOG0000179	-0.013986013986013986	0.9655902689187795	n
N0.HOG0001396	0.5837223072969543	0.046302544719796064	n
N0.HOG0002979	0.0	1.0	n
N0.HOG0000694	0.5594405594405596	0.05858947538856762	n
N0.HOG0000085	-0.14685314685314685	0.6487957097846664	n
N0.HOG0000662	-0.16783216783216784	0.602099427786538	n
N0.HOG0000941	0.4903685278368424	0.10554805393017484	n
N0.HOG0000492	0.027972027972027972	0.9312343512018808	n
N0.HOG0000889	0.3943759765142393	0.20458190665795498	n
N0.HOG0001247	-0.046270670700368326	0.8864552005114834	n
N0.HOG0000888	0.31468531468531474	0.31913878550330455	n
N0.HOG0008202	0.04895104895104895	0.8799185788786749	n
