OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0000991	-0.14360792600936098	0.6561292074448725	n
N0.HOG0000892	-0.02816971260815995	0.9307493932264658	n
N0.HOG0000599	-0.2491497653096756	0.43485380702768006	n
N0.HOG0002260	-0.16728627099363932	0.603298209716268	n
N0.HOG0000082	-0.6121022427222839	0.0343892739141432	n
N0.HOG0000628	-0.09090909090909093	0.7787253962454419	n
N0.HOG0000730	-0.21716320518488735	0.49778490192726343	n
N0.HOG0005520	0.06993006993006995	0.8290236405313092	n
N0.HOG0001036	0.5148307865065466	0.08675862003895493	n
N0.HOG0000647	0.7272727272727274	0.007355028857805126	n
N0.HOG0001213	0.17482517482517487	0.5868236643627043	n
N0.HOG0000395	0.007251137838120374	0.9821566539187246	n
N0.HOG0012032	0.5244755244755246	0.08001937592027475	n
N0.HOG0000441	-0.2164751834017833	0.49918144736239667	n
N0.HOG0001793	0.16783216783216784	0.602099427786538	n
N0.HOG0002938	0.28021058733533855	0.3776981560766677	n
N0.HOG0000693	0.14929322993226435	0.6433004037991689	n
N0.HOG0005613	0.02491497653096756	0.9387365198143007	n
N0.HOG0003126	0.08957593795935859	0.7819006272034151	n
N0.HOG0000960	0.37762237762237766	0.22620604493502663	n
N0.HOG0000345	-0.5293330621827873	0.07676426169926849	n
N0.HOG0001028	-0.10507897025075195	0.7451766219125175	n
N0.HOG0001191	-0.3846153846153847	0.21702022575997748	n
N0.HOG0000317	-0.4982995306193512	0.09918470589758405	n
N0.HOG0000689	-0.2676122697775195	0.40039240027539647	n
N0.HOG0000342	-0.37762237762237766	0.22620604493502663	n
N0.HOG0000020	-0.31468531468531474	0.31913878550330455	n
N0.HOG0003358	0.06304738215045116	0.8456637160508921	n
N0.HOG0000620	0.4755244755244756	0.11817595701303213	n
N0.HOG0000139	0.2377622377622378	0.4568008526399232	n
N0.HOG0000383	-0.16016770627050572	0.619012091466582	n
N0.HOG0001094	0.27272727272727276	0.3910967709418962	n
N0.HOG0000904	0.34965034965034975	0.2652387868927897	n
N0.HOG0001592	0.44055944055944063	0.15173503571673022	n
N0.HOG0000933	0.31468531468531474	0.31913878550330455	n
N0.HOG0001856	-0.1958041958041958	0.5419358857313175	n
N0.HOG0001765	0.1885295837911297	0.5573365380454538	n
N0.HOG0010520	-0.29004551352481495	0.3604571272621032	n
N0.HOG0000469	0.3706293706293707	0.2356210035126457	n
N0.HOG0013047	0.32745397726414505	0.2988039068232815	n
N0.HOG0007170	-0.29004551352481495	0.3604571272621032	n
N0.HOG0001134	0.4125874125874127	0.18256397857316675	n
N0.HOG0000378	-0.22377622377622378	0.48445166145539886	n
N0.HOG0000093	-0.4306731657495821	0.16222059753277357	n
